title,location,price,bedroom,bathroom,area,year_contruction,maintenance,housing_type,operation_type,date_pub,url
Apartamento en alquiler en Santiago de Surco,"Santiago de Surco, Lima, Lima ","S/.2,100",2 dormitorios,2 baños,50 m²,2020,S/.300,Apartamento,Alquiler,Hace 3 horas - Publicado por Vania Rodríguez Bustamante,https://www.properati.com.pe/detalle/14032-32-a8e1-d825cfc61b6a-fad681b1-a15d-4093
Apartamento en alquiler en Sd. S/N,"Sd. S/N, Pueblo Libre, Lima, Lima ","S/.2,300",2 dormitorios,2 baños,66 m²,2017,S/.245,Apartamento,Alquiler,Hace 3 horas - Publicado por Javier Sánchez Agente Inmobiliario,https://www.properati.com.pe/detalle/14032-32-39a3-a64e4e6ae2e3-d41e8f80-924b-4817
Apartamento en alquiler en Ur. La Campiña,"Ur. La Campiña, Chorrillos, Lima, Lima ","S/.1,600",3 dormitorios,2 baños,76 m²,,,Apartamento,Alquiler,"Hace 1 día, 7 horas - Publicado por Patricia y Rogelio",https://www.properati.com.pe/detalle/14032-32-de19-59e83e2b10db-bceeb890-a46f-120d
Apartamento en alquiler en Ur. Los Cedros De Villa Etapa Viii,"Ur. Los Cedros De Villa Etapa Viii, Chorrillos, Lima, Lima ","S/.1,750",3 dormitorios,2 baños,100 m²,1995,,Apartamento,Alquiler,28 mar. 2023 - Publicado por Leonardo Quispe,https://www.properati.com.pe/detalle/14032-32-cdcc-87e6a8297e90-f2c2e020-b445-120d
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ","USD1,400",3 dormitorios,3 baños,130 m²,2013,S/.540,Apartamento,Alquiler,Hace 1 hora - Publicado por Agentes Asociados,https://www.properati.com.pe/detalle/14032-32-8518-a39d725586b5-f89da939-81c0-45ec
Apartamento en alquiler en Lurigancho,"Lurigancho, Lima, Lima ",S/.500,2 dormitorios,1 baño,65 m²,,S/.20,Apartamento,Alquiler,"Hace 1 semana, 1 día - Publicado por Magnolia Quiñones INMOBILIARIA",https://www.properati.com.pe/detalle/14032-32-fada-50e6b4f07fd1-c6b19a3a-b5e4-421a
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",USD700,3 dormitorios,3 baños,89 m²,2010,S/.400,Apartamento,Alquiler,"Hace 1 día, 19 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-c688-a2c18253d867-ed0b3a68-81f6-4631
Apartamento en alquiler en Ur. Aurora,"Ur. Aurora, Miraflores, Lima, Lima ","S/.3,700",3 dormitorios,3 baños,130 m²,2003,S/.550,Apartamento,Alquiler,Hace 17 horas - Publicado por Ana Maria Ore Chávez,https://www.properati.com.pe/detalle/14032-32-bf4e-a26b376a819e-c0e0b76b-bf43-4853
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ","USD1,099",2 dormitorios,2 baños,80 m²,2023,,Apartamento,Alquiler,Hace 4 horas - Publicado por RE/MAX PERÚ,https://www.properati.com.pe/detalle/14032-32-5f8d-d3aa0e5ee84-d0514e9d-bf13-42aa
Apartamento en alquiler en Ur. Oyague,"Ur. Oyague, Magdalena del Mar, Lima, Lima ","S/.2,100",3 dormitorios,2 baños,140 m²,1980,S/.250,Apartamento,Alquiler,Hace 18 horas - Publicado por Century 21 Horizonte,https://www.properati.com.pe/detalle/14032-32-de82-f60486a464c-a5e20df0-b67d-120d
Apartamento en alquiler en San Isidro,"San Isidro, Lima, Lima ",USD900,1 dormitorio,2 baños,85 m²,2015,,Apartamento,Alquiler,Hace 1 hora - Publicado por KRB Agencia Perú,https://www.properati.com.pe/detalle/14032-32-9700-b3718d8198f7-9dc6a028-adc1-4693
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",USD950,2 dormitorios,3 baños,105 m²,2016,S/.400,Apartamento,Alquiler,Hace 2 horas - Publicado por CONFIAR Consultores Inmobiliarios Figari & Aramburú ,https://www.properati.com.pe/detalle/14032-32-df0a-2d95026b1d04-ae381d40-b668-120d
Apartamento en alquiler en Ur. Los Alamos De Monterrico Ii,"Ur. Los Alamos De Monterrico Ii, Santiago de Surco, Lima, Lima ",USD700,2 dormitorios,2 baños,105 m²,2013,S/.300,Apartamento,Alquiler,"Hace 1 semana, 7 horas - Publicado por Magnolia Quiñones INMOBILIARIA",https://www.properati.com.pe/detalle/14032-32-e3d6-5deb0f52a652-903d6569-ab35-43f2
Apartamento en alquiler en Sd. S/N,"Sd. S/N, Magdalena del Mar, Lima, Lima ","S/.3,150",3 dormitorios,2 baños,70 m²,2023,S/.270,Apartamento,Alquiler,"Hace 6 días, 18 horas - Publicado por Javier Sánchez Agente Inmobiliario",https://www.properati.com.pe/detalle/14032-32-ebc4-ba7d0f408dde-b49a0e64-9f3c-406f
Apartamento en alquiler en Ur. Monte Carmelo,"Ur. Monte Carmelo, La Victoria, Lima, Lima ","USD1,400",3 dormitorios,4 baños,216 m²,2023,,Apartamento,Alquiler,Hace 3 horas - Publicado por ASPRO asesores profesionales,https://www.properati.com.pe/detalle/14032-32-1bf1-262c54778992-9b164dde-b4d6-4225
Apartamento en alquiler en Ur. Santa Rosa,"Ur. Santa Rosa, San Isidro, Lima, Lima ","S/.3,000",3 dormitorios,3 baños,70 m²,,S/.280,Apartamento,Alquiler,"Hace 1 día, 23 horas - Publicado por KRB Agencia Perú",https://www.properati.com.pe/detalle/14032-32-354b-6d5017ed3a54-800f052b-bfd2-4e1d
Apartamento en alquiler en Ur. Udima,"Ur. Udima, Magdalena del Mar, Lima, Lima ","S/.1,600",1 dormitorio,1 baño,42 m²,,S/.120,Apartamento,Alquiler,"Hace 1 día, 6 horas - Publicado por Infinito Novantanove E.I.R.L",https://www.properati.com.pe/detalle/14032-32-987-ee9d97c9b305-5f3d171b-9bd6-4c89
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",USD600,1 dormitorio,1 baño,56 m²,,,Apartamento,Alquiler,"Hace 1 día, 6 horas - Publicado por Century 21 Ambassador",https://www.properati.com.pe/detalle/14032-32-6529-789106110c27-762fbeb2-a5bf-3dfa
Apartamento en alquiler en Ur. Las Begonias,"Ur. Las Begonias, San Borja, Lima, Lima ","S/.2,800",2 dormitorios,2 baños,130 m²,2000,S/.1,Apartamento,Alquiler,"Hace 1 día, 18 horas - Publicado por SOCIOS INMOBILIARIOS",https://www.properati.com.pe/detalle/14032-32-b58-bd0c2e7f329e-6be1ebf1-b59f-4ab3
Apartamento en alquiler en San Isidro,"San Isidro, Lima, Lima ","USD1,350",2 dormitorios,2 baños,118 m²,2005,S/.500,Apartamento,Alquiler,"Hace 1 día, 2 horas - Publicado por KRB Agencia Perú",https://www.properati.com.pe/detalle/14032-32-682-98481d312b24-599d8ba5-b5f7-435c
Apartamento en alquiler en Ur. Leuro,"Ur. Leuro, Miraflores, Lima, Lima ",USD940,2 dormitorios,2 baños,120 m²,2018,S/.550,Apartamento,Alquiler,"Hace 1 día, 18 horas - Publicado por Rosario Rosello",https://www.properati.com.pe/detalle/14032-32-b77-d291b0b368e8-5f34c1e5-9f66-485f
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ","S/.2,300",1 dormitorio,1 baño,43 m²,2013,S/.230,Apartamento,Alquiler,"Hace 2 semanas, 6 días - Publicado por Javier Sánchez Agente Inmobiliario",https://www.properati.com.pe/detalle/14032-32-2e3e-91e3606e26b0-7b204094-a499-4655
Apartamento en alquiler en Ur. Monte Carmelo,"Ur. Monte Carmelo, La Victoria, Lima, Lima ","USD1,500",3 dormitorios,4 baños,258 m²,2023,,Apartamento,Alquiler,Hace 3 horas - Publicado por ASPRO asesores profesionales,https://www.properati.com.pe/detalle/14032-32-65b4-66901c3e28d2-51ae843f-a524-4b87
Apartamento en alquiler en Ur. San Isidro,"Ur. San Isidro, San Isidro, Lima, Lima ",USD600,1 dormitorio,1 baño,50 m²,1995,S/.143,Apartamento,Alquiler,Hace 5 horas - Publicado por Proyectum  Perú,https://www.properati.com.pe/detalle/14032-32-cf78-9da396172c13-488bdc4a-a957-46be
Apartamento en alquiler en Los Olivos,"Los Olivos, Lima, Lima ","S/.1,500",3 dormitorios,2 baños,120 m²,2005,,Apartamento,Alquiler,Hace 6 horas - Publicado por joresco real estate,https://www.properati.com.pe/detalle/14032-32-dee6-61b62827f48e-3415ace0-abf8-120d
